ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000556,SIDM01093,930297.0,SIHA,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,SIHA_CERVIX
ACH-000558,SIDM00799,687563.0,A-172,CNS/Brain,Diffuse Glioma,Glioblastoma,A172_CENTRAL_NERVOUS_SYSTEM
ACH-000559,SIDM00770,1240182.0,NCI-H1836,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1836_LUNG
ACH-000560,SIDM00280,906848.0,ECC10,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Small Cell Carcinoma of the Stomach,ECC10_STOMACH
ACH-000561,SIDM00322,1299064.0,T.T,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TT_OESOPHAGUS
ACH-000562,SIDM01068,1290908.0,HCC-78,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC78_LUNG
ACH-000563,SIDM00486,753554.0,EBC-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,EBC1_LUNG
ACH-000565,SIDM00359,909263.0,RCM-1,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,RCM1_LARGE_INTESTINE
ACH-000566,SIDM00420,909749.0,SW-1710,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,SW1710_URINARY_TRACT
ACH-000567,SIDM01198,910906.0,ST486,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000568,SIDM01187,910910.0,UACC-812,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,UACC812_BREAST
ACH-000569,SIDM00224,907173.0,IST-MES1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",ISTMES1_PLEURA
ACH-000570,SIDM00315,687592.0,YKG1,CNS/Brain,Diffuse Glioma,Glioblastoma,YKG1_CENTRAL_NERVOUS_SYSTEM
