File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
a5f72ce2-bc2b-4d25-8427-c908d96027cf	f6945e58-38c9-49a6-8771-9fd2282a8861.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-STAD	TCGA-CG-4474	TCGA-CG-4474-01A	Tumor	Primary	Unknown	Unknown
a5fe8195-9c74-4c1e-87a5-e0c7af52802d	41699bfd-87e4-4745-ad5c-014ae0efd857.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-AACE	TCGA-DD-AACE-01A	Tumor	Primary	Unknown	OCT
a600a98f-4148-4a13-972b-e6bc0f9bfcfa	4a72f18b-44ba-48bf-8a8c-0b95dc31e289.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E9-A1RE	TCGA-E9-A1RE-01A	Tumor	Primary	Unknown	OCT
a61207c1-53d3-455f-b8da-8459042df7ea	9c5fb413-6478-44c7-8e56-31f390556400.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UVM	TCGA-WC-A87T	TCGA-WC-A87T-01A	Tumor	Primary	Solid Tissue	OCT
a61375c6-1e51-4af5-8037-d07337097eec	47c3d736-e4b3-45fd-b7e9-842f04e10fbb.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-A5-A0GP	TCGA-A5-A0GP-01A	Tumor	Primary	Solid Tissue	OCT
a6183267-5875-4f58-af75-92b90f94de70	0b08151a-4d81-4d0e-bba1-3550ff9572ef.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-OV	TCGA-13-0802	TCGA-13-0802-01A	Tumor	Primary	Unknown	Unknown
a62137df-26f4-46b7-adc7-73320fed64b0	93ffddaf-81af-4a27-91a8-1939513da8b0.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AR-A252	TCGA-AR-A252-01A	Tumor	Primary	Solid Tissue	OCT
a6388d48-8e04-4087-984c-d05fefe22753	2765b380-ecc6-4c9e-8c6c-cf1f56034cd7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-DJ-A3VG	TCGA-DJ-A3VG-01A	Tumor	Primary	Solid Tissue	OCT
a63e8264-1e04-40f4-9e66-c371d3cc4be6	dbdca952-bf38-4cfb-b987-a9f2ddeebe8a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-B5-A11L	TCGA-B5-A11L-01B	Tumor	Primary	Solid Tissue	OCT
a654c3aa-d279-4a76-b864-800fbdd323a9	fc65edb2-e3c5-45ff-a4db-585adfb753eb.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-EL-A3H3	TCGA-EL-A3H3-01A	Tumor	Primary	Solid Tissue	Unknown
